"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 17:38:00 GMT 2021","Tue Aug 10 17:38:27 GMT 2021","26820","src.tests.automation","test_adddata","","","","test_adddata",""
"passed","Tue Aug 10 17:39:26 GMT 2021","Tue Aug 10 17:39:40 GMT 2021","13067","src.tests.automation","test_listallelements","","","","test_listallelements",""
"passed","Tue Aug 10 17:38:27 GMT 2021","Tue Aug 10 17:38:54 GMT 2021","27067","src.tests.automation","test_deletedata","","","","test_deletedata",""
"passed","Tue Aug 10 17:40:23 GMT 2021","Tue Aug 10 17:40:31 GMT 2021","8612","src.tests.automation","test_registration","","","","testregistration",""
"passed","Tue Aug 10 17:39:40 GMT 2021","Tue Aug 10 17:39:47 GMT 2021","7594","src.tests.automation","test_login","","","","test_login",""
"passed","Tue Aug 10 17:40:04 GMT 2021","Tue Aug 10 17:40:17 GMT 2021","13293","src.tests.automation","test_pagination","","","","test_pagination",""
"passed","Tue Aug 10 17:40:17 GMT 2021","Tue Aug 10 17:40:23 GMT 2021","5495","src.tests.automation","test_policy","","","","test_policy",""
"passed","Tue Aug 10 17:39:47 GMT 2021","Tue Aug 10 17:40:04 GMT 2021","16914","src.tests.automation","test_logout","","","","test_logout",""
"passed","Tue Aug 10 17:38:54 GMT 2021","Tue Aug 10 17:39:26 GMT 2021","32451","src.tests.automation","test_editdata","","","","test_editdata",""
"passed","Tue Aug 10 17:40:31 GMT 2021","Tue Aug 10 17:41:02 GMT 2021","30268","src.tests.automation","test_writefromfile","","","","test_writefromfile",""
